,sentence
3327,"Van Schoonbeke bouwde huizen op zijn prachtige, nieuwe pleinen en werd schatrijk met de latere verkoop aan rijke burgers."
3328,Toch was deze modernisering nefast voor veel karaktervolle elementen uit de oude binnenstad.
3329,"Hierin kwam het eerste museum voor oudheden, maar het prachtige werfplein in deze oude zone ging wel op de schop."
3330,Voor het behoud van de befaamde Blauwe Toren aan de Oude Vaartplaats kwam er uiteindelijk slechts één stem tekort bij de gemeenteraad.
3331,"Van al die Spaanse omwallingen en poorten blijft er amper iets over, behalve het Leientraject."
3332,Diezelfde ruien bleven ondergronds goed bewaard en zijn anno 2021 perfect te bezoeken onder begeleiding.” “Diversiteit was altijd al een deel van Antwerpen.
3333,In de vroege middeleeuwen diende Antwerpen zelfs als handelsplaats binnen een breder Fries-Scandinavisch handelsnetwerk.” Ilja Van Damme “Erfgoed staat niet stil en verandert voortdurend.
3334,"Alle Antwerpenaren waanden zich er nog even in hun oude, monumentale stad.” Nieuwe wijken in de 20 ste eeuw Tijdens de bevolkingsexplosie tussen 1860 en 1920 kwamen er tal van modernere gebouwen die op zich niet minder iconisch zijn voor het huidige stadsbeeld. “Met de nieuwe stadsuitbreiding in de vorm van de Brialmontomwalling sloten Borgerhout en Berchem zich toen aan bij Antwerpen."
3335,"In de 20 ste eeuw kwam dan weer de Antwerpse Ring in de plaats van dit tracé, waardoor deze ringweg veel te dicht bij de stadskern ligt."
3336,Daarnaast brak men de Citadel van Alva af en trok men er de immense wijk ‘het Zuid’ op.
3337,"Verder bouwde men de Nationale Bank, het oude Justitiepaleis, het Museum voor Schone Kunsten, de Opera en het Centraal Station."
3338,Hij wou Linkeroever als moderne stad betrekken bij het oude stadscentrum met een grote brug.
3339,"Ook de Antwerpse Ring moest slechts een kleine ringweg worden, met een veel grotere ring die door de minder nabijgelegen randdistricten zou lopen."
3340,"Daarover was veel discussie in de jaren ’60 en ‘70, waardoor we nu met een veel te zware ringweg zitten, die bovendien om een overkapping vraagt in de vorm van de Oosterweelverbinding."
3341,Dit hydraulische station voor havenwerktuigen verwijst ook naar het wegtrekken van het water.
3342,Op Open Monumentendag kan je de archeologische expo op het gelijkvloers en de expo over 800 jaar stad Antwerpen op de eerste verdieping bezoeken.
3343,Een surreële plaats met een prachtig museum dat de verloren polderdorpen eert.
3344,"Kijk maar naar het Hendrik Conscienceplein, waar de magnifieke barokke gevels je in Italië doen wanen."
3345,"Maar loop gerust ook eens door de gezellige drukte in wijken als 2060 (Antwerpen-Noord, red.) en Borgerhout."
3346,"Je vindt er tal van arbeiderswoningen van het begin van de 20 ste eeuw, maar ook moskeegebouwen."
3347,"Dit verscholen gebied ligt op de overgang naar Ekeren onder de naam ‘de Oude Landen’, vlak naast de wijk Rozemaai."
3348,"Antwerpen had voordien al een aantal vrijheden en privileges, maar met de toekenning van die stadsrechten werd dat officieel."
3349,Tijdens de laatste 800 jaar veranderde het uitzicht en de demografie van de stad echter drastisch.
3350,"Open Monumentendag 2021 neemt je mee naar de ongerepte parels, iconische gebouwen en vergane glorie die de stempel drukken op het 800-jarige jubileum van Antwerpen als stad."
3351,"Hoe de gedaante van de Scheldestad veranderde doorheen de jaren, lees je in dit uitgebreide artikel."
3352,Een must voor de fans van de meest recente archeologische ontdekkingen!
3353,Wat maakte het uiterlijk van de Scheldestad iconisch? 800 jaar 't Stad Al sinds de oudheid zijn er nederzettingen in de regio Antwerpen.
3354,Professor Ilja Van Damme van de Universiteit Antwerpen leidt ons met sprekend gemak doorheen de meest cruciale gebeurtenissen die mee het uiterlijk van de Scheldestad bepaalden. 800 jaar stad en stedelijkheid Open Monumentendag 2021 draait in Antwerpen helemaal rond het unieke 800-jarige jubileum van Antwerpen als stad.
3355,"Ontdek het hier De ligging bepaalt de toekomst “De groei van Antwerpen naar een volwaardige stad begint al veel vroeger dan bij die stadsprivileges uit 1221,” begint professor Van Damme met zijn verhaal. “Sta me toe om er meteen een oude volkswijsheid bij te nemen. ‘Antwerpen dankt de Schelde aan de voorzienigheid en al de rest aan de Schelde’."
3356,"Al in de Romeinse Tijd - en wellicht nog vroeger - ontstonden de eerste bewoningskernen op de befaamde zandruggen aan de Schelde, waar de stad Antwerpen zal verrijzen.” “Diversiteit was altijd al een deel van Antwerpen."
3357,"Stadsuitbreidingen volgen de groei Op het kruispunt van land- en waterwegen vormde Antwerpen de uitgelezen plek voor een versterking, zoals een burcht. “Aan het eind van de 10 de eeuw werd het een markgraafschap, dankzij de Duitse keizer Otto II."
3358,"Moedermerk 28 Volledig scherm Digitale publicaties Blader hier door onze bibliotheek van digitale magazines, brochures, gidsen en andere publicaties."
3359,Doorbraakprojecten vs. strategische acties De thema's Doorbraakprojecten vs. strategische acties De verschillende interventies kunnen we indelen als doorbraakprojecten en strategische acties.
3360,"De weg naar klimaatneutraliteit kent verschillende hindernissen, zoals beperkende regelgeving, technologie die nog niet voorhanden is, gebrek aan financiële middelen, tijd en ruimte."
3361,"Als we die barrières kunnen overwinnen, forceren we een doorbraak die ons helpt bepaalde dingen te realiseren of dat sneller en/of beter te doen."
3362,"Een innovatief project dat inzet op het overwinnen van een of meerdere hindernissen richting klimaatneutraliteit, noemen we dan ook een doorbraakproject ."
3363,Deze projecten helpen ons de klimaattransitie voor de hele stad (en ruimer) te versnellen.
3364,Daarnaast zijn er interventies die op een andere manier waardevol en nodig zijn om de wijk Linkeroever klimaatneutraal te maken.
3365,Per thema lijsten we de verschillende acties op en maken we duidelijk of het om een doorbraakproject of een strategische actie gaat.
3366,Zelf grote of kleine suggesties om Linkeroever versneld klimaatneutraal te maken?
3367,Materialen Maximale reductie van CO₂ voor materialen We nemen maatregelen die gericht zijn op het verminderen van afval en het stimuleren van recycling en hergebruik.
3368,Bovendien passen we circulaire principes toe in nieuwbouw- en renovatieprojecten.
3369,Hernieuwbare energie Productie en gebruik van hernieuwbare energie maximaliseren We investeren in de productie en het gebruik van hernieuwbare energiebronnen zoals zonne- en windenergie.
3370,Gebouwen zijn verantwoordelijk voor 71% van de CO 2 -uitstoot in Linkeroever.
3371,Zo ontstaat een gevoel van gemeenschappelijke verantwoordelijkheid en betrokkenheid.
3372,Vermijd afspraken die het team doen afdwalen van de oorspronkelijke intentie.
3373,"Implementeer momenten van feedback en herhaalrituelen Zorg dat je partners constructieve input geven over de vooruitgang van de cliënt, en hoe zijn situatie nog kan verbeteren."
3374,Zo kunnen de kinderen en jongeren kansrijk opgroeien in een veilige omgeving.
3375,Sta stil bij en vier de mijlpalen en successen op weg naar het gemeenschappelijke doel.
3376,"Terug naar navigatie > Ontdek de inzichten uit dit traject Nicole Rijkens, toekomstverkenner en mede-oprichtster van toekomstbureau Pantopicon ""Sinds een aantal jaren staat de circulaire transitie volop in de kijker."
3377,We hebben ons voedselsysteem vanuit verschillende invalshoeken geanalyseerd en gezocht naar knelpunten.
3378,Ik was samen met mijn collega Nik Baerten procesbegeleider van het innovatietraject dat de bouwstenen van de sociaal circulaire voedselhub moet uitwerken.
3379,Sinds een aantal jaren staat de circulaire transitie volop in de kijker.
3380,"We moeten deze stromen sluiten, vernauwen of vertragen om een antwoord te kunnen bieden op die complexe problemen."
3381,Deelnemen aan dit innovatietraject was een boeiende verkenning die veel energie heeft gegeven.
3382,Het zijn allemaal stakeholders die met een vernieuwende blik kijken naar ons voedselsysteem .
3383,We hebben ons voedselsysteem vanuit verschillende invalshoeken geanalyseerd en gezocht naar de knelpunten in het systeem.
3384,"Logistieke bedrijven, sociale organisaties, boeren, horeca, retailers, sociale economie ..."
3385,Een sociaal circulaire voedselhub kan veel waarde creëren voor een stad .
3386,Een voedselhub is geschikt om jobs te creëren voor mensen die moeilijker werk vinden.
3387,"Maar ook ecologisch transport, kortere voedselketens en meer gezonde voeding kunnen dankzij een voedselhub versnellen en opschalen."
3388,Iets wat ook waardevol is voor bijvoorbeeld organisaties die mensen in armoede helpen.
3389,"Na 1,5 jaar hard werken hebben we een divers netwerk van organisaties gevormd."
3390,"Ze hebben samen het voedselsysteem geanalyseerd, een visie voor de voedselhub ontwikkeld en de krijtlijnen voor een businessmodel op papier gezet."
3391,Het wordt enorm interessant om te kijken welke ideeën haalbaar zijn en waar we moeten bijsturen.
3392,"Die logica's samenbrengen, begrijpen en smeden tot een geheel was ook voor mij een erg leerrijk proces."
3393,"Voorwoord We hebben ons voedselsysteem vanuit verschillende invalshoeken geanalyseerd en gezocht naar knelpunten. > Ontdek de inzichten uit dit traject Nicole Rijkens, toekomstverkenner en mede-oprichtster van toekomstbureau Pantopicon ""Sinds een aantal jaren staat de circulaire transitie volop in de kijker."
3394,Dompel jezelf onder in de kunst van samenwerken en ontdek de kracht van netwerken voor een optimale hulpverlening.
3395,Met onze Eerste Hulp Bij Netwerken-gids (EHBN-gids) sta je sterker dan ooit in jouw rol als basiswerker in het hulpverlenersnetwerk.
3396,P raktijk-verhaal J ill S amenwerken is een kunst B epaal je superlijm Wil je efficiënt samenwerken?
3397,"Die heb je echt nodig om te kunnen samenwerken, ook wanneer er later meningsverschillen zouden ontstaan."
3398,Als hulpverlener is het best uitdagend om je weg te vinden in het netwerklandschap.
3399,"Soms zie je al snel door het bos de bomen niet meer, en overal schuilen er nieuwe uitdagingen."
3400,We ontwikkelden deze EHBN-gids speciaal om je te gidsen met concrete tips en tricks.
3401,"L aat je gidsen Een goede samenwerking is de kern van een succesvol netwerk, maar ook een kunst."
3402,"Wist je dat 80% van de gestarte netwerken de cruciale eerste 2,5 jaar niet overleeft?"
3403,Voor een succesvol netwerk heb je de juiste mix van verschillende ingrediënten nodig.
3404,"Je hebt ook de juiste inzichten, vaardigheden, houdingen en kennis nodig."
3405,Praktijk- verhaal Jill B epaal je superlijm Als hulpverlener is het best uitdagend om je weg te vinden in het netwerklandschap.
3406,Lees meer Pilootprojecten werken kritische drempels weg De pilootprojecten testen tot midden 2025 onderdelen van de sociaal circulaire voedselhub.
3407,Kunnen snel bederfbare reststromen uit de retailsector efficiënt worden omgezet naar langer houdbare ingrediënten?
3408,Welke nieuwe technologie kan ingezet worden om onvermijdbare reststromen op te waarden?
3409,Elk pilootproject en elk van deze uitdagingen heeft het potentieel om op grote schaal uitgerold te worden.
3410,"Daarom onderzochten masterstudenten van de opleiding Sustainability Science and Policies (Universiteit Maastricht, School of Business and Economics) de rol van een lokale overheid bij voedselhubs in onder andere Milaan, Berlijn en Stockholm."
3411,Een voedselhub creëert meer waarde dan je denkt Het businessmodel van een sociaal circulaire voedselhub is meer dan de som van de modellen van de deelnemende organisaties.
3412,Het zorgt ervoor dat knelpunten in het voedselsysteem samen worden geïdentificeerd en aangepakt .
3413,Kenmerkend is dat deze initiatieven dikwijls kansen bieden voor opschaling.
3414,Denk bijvoorbeeld aan de Werkagenda Circulaire Voeding van Vlaanderen .
3415,Een stad met veel consumptie en tegelijk veel armoede en inwoners met een afstand tot de arbeidsmarkt.
3416,Die kenmerken bieden kansen om een sociaal circulaire voedselhub te ontwikkelen .
3417,In deze regio bevinden zich nu al bedrijven die een rol opnemen of kunnen opnemen in de Antwerpse voedselstromen.
3418,Daardoor ontstaat meer synergie en dus meer mogelijkheden voor een Antwerpse voedselhub.
3419,Lees meer De pilootprojecten testen tot midden 2025 onderdelen van de sociaal circulaire voedselhub.
3420,Pilootprojecten werken kritische drempels weg Hoe kan de lokale overheid helpen?
3421,Een actieve rol van de lokale overheid is nodig Het businessmodel van een sociaal circulaire voedselhub is meer dan de som van de modellen van de deelnemende organisaties.
3422,Er is een momentum voor een voedselhub Antwerpen heeft de troeven voor een voedselhub Antwerpen is een havenstad.
3423,"Terug naar navigatie Bart Van Droogenbroeck, project coördinator Instituut voor Landbouw-, Visserij- en Voedingsonderzoek Het is onze plicht om biomassa initieel bestemd voor humane consumptie alle kansen te geven als voedsel."
3424,"Herbestemmen richting voeder of bio-energie zouden vandaag altijd slechts een plan B mogen zijn, voor als het echt niet anders kan."
3425,"Dimitri Torfs, director sales Bopro Voeding is niet mijn core business."
3426,Toch vond ik het gelopen proces met de diverse stakeholdermeetings zéér boeiend.
3427,Dat deden ze aan de hand van feedback van verschillende experts en organisaties.
3428,"Een slim, sociaal en circulair concept bedenk je vooral door samen intensief te brainstormen, te testen en te evalueren . 2."
3429,Traject > Ontdek de inzichten uit dit traject Leren en verankeren Als laatste stap zullen we lessen uit de pilootprojecten verzamelen en good practices verankeren.
3430,Ik ben inmiddels overtuigd dat dergelijk initiatief noodzakelijk is voor Antwerpen om de voedseloverschotten alsnog te kunnen opwaarderen en zo terug in de keten te kunnen brengen.
3431,"Bart Van Droogenbroeck, project coördinator Instituut voor Landbouw-, Visserij- en Voedingsonderzoek Het is onze plicht om biomassa initieel bestemd voor humane consumptie alle kansen te geven als voedsel."
3432,Feedback van experts en organisaties Het ontwerptraject startte in januari 2023.
3433,"Een slim, circulair en sociaal concept bedenk je vooral door samen intensief te brainstormen, te testen en te evalueren. 2."
3434,"Dat vind ik soms heel spijtig en ervaar ik als een gemiste kans, zeker naar klanten toe."
3435,Zo krijgen ze niet de hulp die ze nodig hebben of kennen ze hun rechten niet.
3436,Waarom doet deze stad de dingen die ze doet? 1 We geloven dat Het bepaalt haar hartslag en geeft mensen energie.
3437,In een kroniek van 1083-1100 werden stedelijke magistraten vermeld en rond 1146 is er voor het eerst sprake van ‘scabini’ of schepenen.
3438,In 1221 bevestigde de hertog van Brabant deze situatie door Antwerpen stadsrechten te verlenen.
3439,Zij voerden deze taken steeds samen uit met vertegenwoordigers van de vorst (schout en amman).
3440,Halverwege de 16 de eeuw was het gebouw in slechte staat en werd het vervangen door het huidige stadhuis.
3441,In 1560 werd een ontwerpwedstrijd georganiseerd voor de bouw van dit stadhuis.
3442,"Alles wijst er op dat er niet één laureaat werd geselecteerd, maar dat het uitgevoerde plan een combinatie was van verschillende elementen uit de ontwerpen van meerdere kunstenaars en architecten."
3443,"Wel blijkt dat Cornelis Floris De Vriendt niet enkel de bouwleiding had, maar ook verantwoordelijk was voor een groot deel van de uitvoeringstekeningen."
3444,"Amper vier jaar later, op 27 februari 1565, werd het nieuwe stadhuis ingehuldigd."
3445,De ene was binnenburgemeester die zich vooral bezighield met juridische en interne stedelijke aangelegenheden.
3446,Ticket reserveren 1409 Italiaanse renaissance met gotische kenmerken Het nieuwe stadhuis was het eerste gebouw in de Nederlanden dat een synthese bracht tussen de gotische bouwtraditie en de gevelordening van de Italiaanse renaissance.
3447,Het rechthoekig grondplan met vleugels rond een later overdekte binnenkoer was traditioneel en te vergelijken met andere handelshallen.
3448,"Die werd doorbroken door het beeldrijke en eerder verticale middenrisaliet, het gebruik van klassieke orden en de kleurrijke, decoratieve gevelmaterialen."
3449,"De open mezzanine die de overgang vormde naar het dak, deed denken aan de Italiaanse palazzo’s."
3450,"Toen in 1799 de inboedel van het stadhuis openbaar werd verkocht, verdween het oorspronkelijke interieur."
3451,"In de loop van de 19 de eeuw werden onder leiding van achtereenvolgens François Verly, Pierre Bourla, Jozef Schadde, Pieter Dens, Alexis Van Mechelen en Jean Jacques Winders heel wat aanpassings- en verbouwingswerken uitgevoerd."
3452,Ook de indeling van het interieur van na de heropbouw van 1579 wijzigde grondig.
3453,Restauratie stadhuis 2018-2022 In 2018 startte de restauratie van het stadhuis.
3454,De kabinetten van de schepenen krijgen een plaats op de eerste en tweede verdieping.
3455,Bezoek met gids Farnese was van 1578 tot 1592 landvoogd van de Nederlanden en ging in de hoedanigheid de strijd aan met de opstandelingen.
3456,Italiaanse renaissance met gotische kenmerken Het nieuwe stadhuis was het eerste gebouw in de Nederlanden dat een synthese bracht tussen de gotische bouwtraditie en de gevelordening van de Italiaanse renaissance.
3457,"Het haalt niet-verkochte groenten, diepvriesproducten, fruit en droge voeding op bij supermarkten, bedrijven en veilingen."
3458,Het verdeelt deze producten onder 16 voedselhulporganisaties en 5 sociale kruideniers in Antwerpen.
3459,Werknemers van Foodsavers krijgen een opleiding en doen werkervaring op.
3460,De verhuis van Foodsavers naar Kielsbroek was de eerste stap in de ontwikkeling van een sociaal circulaire voedselhub.
3461,Stad Antwerpen nodigde sinds januari 2023 relevante actoren uit om mee na te denken over het potentieel van een sociaal circulaire voedselhub in de stad.
3462,Het initiëren van pilootprojecten zodat uit de praktijk kan worden geleerd.
3463,Volgens Wageningen University & Research zorgt voedselverspilling voor 10% van de mondiale CO2-uitstoot.
3464,Volgens de Openbare Vlaamse Afvalstoffenmaatschappij verspilt de Vlaming ongeveer 60 kilogram voedsel per jaar.
3465,Voedselarmoede tegengaan In Antwerpen heeft 15% van de inwoners overgewicht of obesitas.
3466,Inwoners met een lager inkomen hebben ook onvoldoende toegang tot gezonde en voedzame voeding.
3467,Dankzij meer synergie tussen reststromen kan sneller een match worden gevonden tussen voedseloverschotten en noden van hulporganisaties.
3468,Door synergie te creëren en verspilling tegen te gaan dragen we bij aan een sociaal en circulair voedselsysteem.
3469,"Heel wat kunstenaars, politici en bekende Antwerpenaars vonden hier hun laatste rustplaats."
3470,Warre Borgmans toont in primeur ook de nieuwe reportage uit de reeks ‘Voor Eeuwig en Altijd’.
3471,"Jobs in regio Antwerpen Overzicht van vacatures, werkervaringstrajecten, jobs in knelpuntsectoren en vrijwilligerswerk bij andere werkgevers in de regio Antwerpen."
3472,"Ondernemers en bedrijven Advies, regelgeving en ondersteuning voor ondernemers over bouwen en verbouwen, financiering, mobiliteit, innoveren, investeren in Antwerpen..."
3473,"Beter leren werken met smartphone, computer en tablet Gebruik een openbare computer in een webpunt of laat je helpen met de computer."
3474,Jeugd op de arbeidsmarkt Jongeren worden op verschillende manieren ondersteund bij hun zoektocht naar werk.
3475,"Basis-, secundair en buitengewoon onderwijs Overzicht van scholen en hoe je kan inschrijven."
3476,Hoger en universitair onderwijs Overzicht van universiteiten en hogescholen.
3477,"Volwassenenonderwijs en levenslang leren Opleidingen in centra voor volwassenenonderwijs, centra voor basiseducatie en academies."
3478,"Academies voor deeltijds kunstonderwijs Volg een opleiding muziek, woord, dans of beeldende kunst op een academie voor deeltijds kunstonderwijs."
3479,"Zowel baby's, peuters als kleuters ontdekken het plezier en de rijkdom van lezen."
3480,Het betreft panden in de Houthulststraat (Merksem) en Tweegezusterslaan (Deurne).
3481,Hof Van Liere Engelse Natie Al in de 13 de eeuw waren er Engelse handelaren in Antwerpen aanwezig.
3482,Net als andere handelsnaties in de stad kregen ze allerlei privileges om hen aan de stad te binden.
3483,"Voor hun activiteiten kregen ze in 1474 van de stad een pand in de Bullinckstraat, vandaag de Oude Beurs en later het Hof Van Liere in de Prinsstraat."
3484,"Stadspaleis De omgeving van de Prinsstraat was tot het begin van de 16 de eeuw een uitgestrekt gebied van raamhoven, blekerijen en boomgaarden."
3485,In deze periode liet burgemeester Arnold Van Liere hier een stadspaleis bouwen.
3486,"In 1521, precies vijf eeuwen geleden, bezocht Albrecht Dürer, de grote Duitse kunstenaar het stadspaleis van burgemeester Van Liere."
3487,"Na zijn overlijden, in 1529, kwam het in handen van de koopmansfamilie Draecke."
3488,Ze gebruikten het complex als verblijfplaats voor Engelse diplomaten en als hoofdkantoor voor de Natie.
3489,Pakhuizen In 1560 deden de Engelse lakenhandelaren een beroep op de stad om pakhuisruimte voor hen te vinden.
3490,De stad liet pakhuizen oprichten op een aanpalend perceel in de Venusstraat.
3491,"Ze gaf de opdracht aan stadssecretaris Jan Asseliers, zijn schoonmoeder, onderneemster en eigenares van de gronden Anna Janssen en vastgoedspeculant Christof Pruynen."
3492,Ze moesten 38 pakhuizen oprichten voor de Engelse Natie en mochten daaraan kelders en zolders toevoegen die ze mochten verhuren voor eigen rekening.
3493,Demografisch hoogtepunt van de stad Van 33.000 inwoners in 1480 groeide Antwerpen tot 105.000 inwoners in 1568.
3494,Een deel daarvan was een vlottende groep die werd omschreven als ‘den vremden handelsman van alle natien vuyt alle provincien ende coninckrycken dagelycx gaende ende comende’ en bestond uit een 10.000 personen.
3495,De spectaculaire bevolkingsgroei in Antwerpen in de 16 de eeuw was grotendeels te wijten aan immigratie.
3496,"Wanneer de orde in 1773 werd afgeschaft, werden de gebouwen achtereenvolgens gebruikt als militaire academie, militair ziekenhuis en kazerne."
3497,"Uitbreiding en verbouwingen De patriciërswoning werd meermaals verbouwd, vergroot en aangepast."
3498,Vandaag bestaat het complex uit drie binnenplaatsen omgeven door sterk gerestaureerde neotraditionele vleugels.
3499,De oudste delen liggen rond de twee zuidelijke binnenkoeren aan de zijde van de Prinsstraat.
3500,"Eén daarvan is voorzien van een galerij in Brabants-gotische stijl (1515-20), toegeschreven aan Dominicus de Waghemakere of zijn school."
3501,"De Tassisvleugel, met renaissancegalerij uit 1612 aan de westzijde van de binnentuin, is een voorbeeld van de 17 de -eeuwse uitbreidingen."
3502,"Hof Van Liere  Prinsstraat 13, 2000 Antwerpen Bezoek met gids Ticket reserveren 1568 Demografisch hoogtepunt van de stad Van 33.000 inwoners in 1480 groeide Antwerpen tot 105.000 inwoners in 1568."
3503,Engelse Natie Al in de 13 de eeuw waren er Engelse handelaren in Antwerpen aanwezig.
3504,"Jezuïeten In 1583 als gevolg van de Spaanse Furie (1576), verliet de Engelse Natie de stad."
3505,We verwerken alleen persoonsgegevens en we laten alleen persoonsgegevens verwerken als dat noodzakelijk is om onze taken te kunnen verrichten.
3506,"Daarnaast maken we gebruik van Google Consent Mode V2 om ervoor te zorgen dat we voldoen aan de nieuwste EU-privacywetgeving, zoals de GDPR en de Digital Markets Act."
3507,Twitter Derde partij 30 dagen Antwerpen.be integreerde de Twitter-widget van Twitter.
3508,Soundcloud sc_anonymous_id Derde partij 10 jaar De dienst Soundcloud biedt originele audiofragmenten aan.
3509,Spotify Derde partij 1 dag - 1 jaar Je kan de Spotify-service gebruiken om te luisteren naar audio die we op antwerpen.be plaatsen.
3510,Je gegevens worden hoofdzakelijk intern verwerkt door onze medewerkers.
3511,"Het is mogelijk dat we voor bepaalde specifieke diensten een beroep doen op derden, die je gegevens verwerken."
3512,"We bezorgen je gegevens aan die verwerkers, zodat ze de dienst in kwestie kunnen verlenen."
3513,Je vindt hieronder een overzicht van de verwerkers op wie we een beroep doen.
3514,Google Hotjar YouTube Crowdsignal Twitter Soundcloud Spotify Microsoft Clarity Hoe lang bewaren wij je persoonsgegevens?
3515,Volgens de AVG mogen we je persoonsgegevens alleen bewaren tijdens de periode waarin ze noodzakelijk zijn om bepaalde diensten te verlenen.
3516,We hebben de passende technische en organisatorische maatregelen genomen om ervoor te zorgen dat de veiligheid en vertrouwelijkheid van je persoonsgegevens gewaarborgd is.
3517,Het is mogelijk dat je gevraagd wordt een identiteitsbewijs door te geven.
3518,"Dit zodat wij zeker zijn dat je de betrokken persoon bent, en wij je persoonsgegevens niet meedelen aan de verkeerde persoon."
3519,"Als je na de behandeling van je vraag of klacht niet tevreden bent, kan je een klacht indienen bij de bevoegde gegevensbeschermingsautoriteit."
3520,Je kan hiervoor terecht bij de Vlaamse Toezichtscommissie of de Gegevensbeschermingsautoriteit.
3521,Oud Gerechtshof Louvre als inspiratie Sinds het einde van de 18 de eeuw was het huis ‘de Gulden Roose’ aan de Groenplaats in gebruik als rechtbank.
3522,Door de aangroei van het aantal zalen was het te klein geworden en in 1866 werd beslist om een nieuw gerechtshof te bouwen op de gedempte Spaanse omwalling.
3523,Het was zowel qua vorm als qua decoratie geïnspireerd op het Louvre in Parijs en bestond uit vier vleugels rond twee binnenkoeren.
3524,"Omdat zijn werk niet aan de raming voldeed, werd de prijs niet uitgereikt."
3525,Zijn oudere broer Frans aanvaardde het verzoek van de gouverneur om de opdracht verder te zetten.
3526,"Oorzaken waren onder meer de drassige gronden die extra funderingen vereisten, transportmoeilijkheden van het materiaal door de Frans-Dietse oorlog en de voortdurende wijzigingen die aan het oorspronkelijk ontwerp werden aangebracht."
3527,Het gebouw aan de Nijverheidslei (huidige Britselei) was op dat ogenblik nog niet voltooid.
3528,Bijzondere ingang Het gebouw werd opgevat in eclectische stijl met neorenaissance-inslag.
3529,Antwerpse rechtsgebruiken worden neergeschreven De aanvankelijk ongeschreven Antwerpse rechtsgebruiken werden voor het eerst neergeschreven in de zogenaamde ‘Costuymen’.
3530,Keizer Karel had de optekening van het gewoonterecht reeds in 1531 bevolen.
3531,De taferelen hadden betrekking op het rechtswezen in de 16 de en 17 de eeuw.
3532,Plaatsgebrek In het nochtans ruim opgevatte gerechtsgebouw ontstond reeds na enkele jaren plaatsgebrek.
3533,In 1911 werd aan de zijde van de Anselmostraat een verdieping bijgebouwd.
3534,"In 1929 werden opnieuw vergrotingswerken uitgevoerd, onder leiding van Frans Van Dijk en zijn zoon Henri."
3535,"Er werd een tweede verdieping toegevoegd, een ruime bibliotheek opgericht en één van de binnenkoeren werd overkoepeld."
3536,Sinds deze veranderingen zijn er geen noemenswaardige verbouwingen meer gebeurd.
3537,Ook het nieuw opgerichte justitiepaleis aan de Bolivarplaats herbergt sinds 2006 een aantal rechtbanken en hoven.
3538,"Grootse restauratie In 2019 startte de Regie der Gebouwen, de vastgoedbeheerder van de federale overheid, met de renovatie- en restauratiewerken aan het oude gerechtshof."
3539,"Na voltooiing van de werken nemen het Hof van Beroep, het Parket-Generaal, het Arbeidshof, het Auditoraat-Generaal en het Assisenhof van Antwerpen er hun intrek."
3540,Louvre als inspiratie Sinds het einde van de 18 de eeuw was het huis ‘de Gulden Roose’ aan de Groenplaats in gebruik als rechtbank.
3541,Vermoedelijk werd deze pastorie tijdens de slag bij Deurne in 1579 bovengronds grotendeels verwoest.
3542,"In schepenprotocollen van die tijd sprak men niet over huizen en gebouwen, maar van ‘materiaelen’ en ‘puynen’."
3543,"Groei Aanvankelijk was dit pand een bescheiden diephuis, waarvan de voorgevel van 5 traveeën  op het zuiden georiënteerd was."
3544,"Onder haar nieuwe beschermheilige, de pestheilige Sint-Fredegandus, groeide de voormalige O.L.V.-kerk echter uit tot een waar bedevaartsoord."
3545,Bouwsporen van rondboogopeningen in de zuidelijke aanbouw wijzen in de richting van een mogelijk overdekte doorgang naar de toenmalige Kerkstraat.
3546,Nieuwe stijl Tijdens de Oostenrijks-Habsburgse periode werd de pastorie aangepast aan de veranderde mode en levensstijl.
3547,De witstenen raamomlijstingen verdwenen achter een strakke witte pleisterlaag.
3548,"Getuige hiervan zijn de pronkkamer met stucwerk, de ‘cheminée à la Royale’, de monumentale eiken trap met voluten naar de ‘piano nobile’ destijds voorzien van ‘des chambres en enfilade’."
3549,"Vanuit het balkonvenster van de kamer aan de westzijde had hij zicht op de ondergaande zon boven de eigen boomgaard en visvijver, de Schijnvallei en de torens van Antwerpen."
3550,Eerste ‘paepenwoeninge’ In 1353 is er voor het eerst sprake van een woning voor de pastoor in Deurne.
3551,"Bezoek & info 1353 Bouwvallig Tijdens de Franse periode werd de pastorie in beslag genomen, waarna ze in bouwvallige staat in handen van de gemeente kwam."
3552,Plannen van 1865-1867 om de pastorie af te breken en herop te bouwen stuitten op een weigering van de militaire overheden die alle nieuwbouw in een zone rond Antwerpen verboden.
3553,"Deze hadden vooral een grote impact op de verdieping, waarbij alle kamers rond één centrale lange gang geschikt werden en de plafonds verhoogd."
3554,Een gedeelte van het nog oorspronkelijke 17 de -eeuwse dakgebinte verdween hierdoor onder de zoldervloer.
3555,"Gife, voerde tussen 1893 en 1895 vooral verfraaiingswerken aan het interieur uit, zoals het plaatsen van de huidige vloer en lambrisering in de gang."
3556,Naast een aantal technische en comfortwerken werd ook de gevel aangepakt.
3557,Tot slot werden de lambrisering en het stucwerk van de pronkkamer gerestaureerd.
3558,"Verticale geleding van een gevel, bepaald door afstand tussen twee opeenvolgende steunpunten."
3559,"Pastorie Sint-Fredegandus  Lakborslei 31, 2100 Deurne Bezoek & info 1353 Eerste ‘paepenwoeninge’ In 1353 is er voor het eerst sprake van een woning voor de pastoor in Deurne."
